#bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
978	210	88	51	34	chr6	51536940	51536999	-29105251	+	(TTAAA)n	Simple_repeat	Simple_repeat	3	62	0	4
978	2298	292	185	28	chr6	51537018	51538189	-29104061	-	L1_Canid	LINE	L1	-5379	1260	2	4
978	723	120	9	27	chr6	51539087	51539198	-29103052	+	SINEC_old	SINE	Lys	1	109	-3	4
978	538	200	0	10	chr6	51539353	51539454	-29102796	+	SINEC_old	SINE	Lys	1	100	-12	4
978	28	0	0	0	chr6	51540079	51540107	-29102143	+	AT_rich	Low_complexity	Low_complexity	1	28	0	4
978	188	245	18	54	chr6	51540936	51540992	-29101258	+	L2	LINE	L2	3248	3301	-77	4
978	322	287	156	20	chr6	51541339	51541538	-29100712	-	MLT1J	LTR	MaLR	-285	226	1	4
978	222	343	0	0	chr6	51541805	51541875	-29100375	-	L2	LINE	L2	-15	3404	3335	4
978	476	413	63	31	chr6	51542107	51542758	-29099492	-	L2	LINE	L2	-177	3201	2424	4
978	2292	159	76	9	chr6	51543129	51543548	-29098702	-	CarLTR8y	LTR	ERV1	0	447	1	4
978	1161	152	5	5	chr6	51543761	51543972	-29098278	+	L1_Canis1	LINE	L1	6193	6403	-22	4
978	7536	33	3	6	chr6	51544167	51545586	-29096664	-	L1_Canis1	LINE	L1	-6	6419	5002	4
978	182	319	104	21	chr6	51545668	51545764	-29096486	+	MIR	SINE	MIR	158	261	-1	4
978	291	348	64	47	chr6	51545829	51546001	-29096249	-	MIRb	SINE	MIR	-52	216	42	4
978	542	291	46	31	chr6	51548456	51548651	-29093599	-	MIR	SINE	MIR	0	262	65	4
978	239	293	56	16	chr6	51548696	51548821	-29093429	+	L1MEd	LINE	L1	5	134	-5985	4
978	342	289	65	32	chr6	51549202	51549481	-29092769	+	L1MEd	LINE	L1	602	889	-5230	4
978	234	0	0	0	chr6	51549491	51549517	-29092733	+	(TTG)n	Simple_repeat	Simple_repeat	2	27	0	4
978	661	221	0	0	chr6	51549517	51549639	-29092611	-	SINEC_c1	SINE	Lys	-87	122	1	4
978	238	311	116	14	chr6	51549745	51549960	-29092290	+	L1MEd	LINE	L1	971	1207	-4912	4
978	402	301	73	34	chr6	51550257	51550584	-29091666	+	L1MEd	LINE	L1	1365	1704	-4445	4
978	335	252	109	42	chr6	51550647	51550912	-29091338	+	L1MEc	LINE	L1	1192	1474	-4926	4
978	343	308	62	59	chr6	51550922	51551243	-29091007	+	L1MEc	LINE	L1	1526	1847	-4392	4
978	200	34	0	33	chr6	51551378	51551408	-29090842	+	(CAAA)n	Simple_repeat	Simple_repeat	2	30	0	4
978	23	33	0	0	chr6	51551570	51551600	-29090650	+	AT_rich	Low_complexity	Low_complexity	1	30	0	4
978	1199	58	38	55	chr6	51551785	51551968	-29090282	+	SINEC_Cf3	SINE	Lys	1	180	0	4
978	193	146	42	0	chr6	51552314	51552362	-29089888	+	(TA)n	Simple_repeat	Simple_repeat	1	50	0	4
978	684	118	16	8	chr6	51553181	51553309	-29088941	+	(TA)n	Simple_repeat	Simple_repeat	2	130	0	4
978	778	186	47	37	chr6	51553425	51553615	-29088635	+	SINEC_b2	SINE	Lys	1	192	-2	4
978	183	278	216	69	chr6	51553727	51553843	-29088407	+	L2	LINE	L2	3282	3414	-5	5
978	22	0	0	0	chr6	51554510	51554532	-29087718	+	AT_rich	Low_complexity	Low_complexity	1	22	0	5
978	211	265	124	2	chr6	51554958	51555035	-29087215	+	MIR	SINE	MIR	180	268	0	5
978	189	107	0	0	chr6	51555399	51555427	-29086823	+	(GAA)n	Simple_repeat	Simple_repeat	3	30	0	5
